,question,answer,img_id,type
0,màu của chiếc bình là gì,màu xanh lá,68857,2
1,màu của con mèo là gì,màu xám,119776,2
2,màu sắc của áo thun là gì,màu trắng,138621,2
3,màu của chăn là gì,màu tía,21138,2
4,màu của ngân hàng là gì,màu xanh lá,520551,2
5,màu của áo là gì,màu xanh dương,44135,2
6,màu của bàn chân là gì,màu trắng,56303,2
7,màu của những ngọn núi là gì,màu nâu,531450,2
8,màu của vòi nước là gì,màu xanh lá,532482,2
9,màu của lá là gì,màu xanh lá,95320,2
10,màu của rèm là gì,màu xanh dương,352143,2
11,màu của máy tính xách tay là gì,màu cam,184589,2
12,màu của bầu trời là gì,màu xanh dương,93667,2
13,màu của xe là gì,màu xám,160910,2
14,màu của bồn rửa là gì,màu trắng,438315,2
15,màu của dấu là gì,màu đỏ,362278,2
16,màu của đầu là gì,màu nâu,262756,2
17,màu của tòa án là gì,màu xanh dương,397772,2
18,màu của xe buýt là gì,màu xanh dương,480064,2
19,màu của ánh sáng là gì,màu đỏ,68223,2
20,màu của dĩa nhựa là gì,màu vàng,162828,2
21,màu của tường là gì,màu tía,281700,2
22,màu sắc của ngọn lửa là gì,màu cam,222191,2
23,màu của ghế là gì,màu trắng,284464,2
24,màu của chiếc xe là gì,màu xám,272040,2
25,màu của con chó là gì,màu vàng,360165,2
26,màu của thân cây là gì,màu đen,513214,2
27,màu của chiếc đĩa là gì,màu trắng,23158,2
28,màu sắc của người phụ nữ là gì,màu trắng,101215,2
29,màu của đường đua là gì,màu xanh lá,73843,2
30,màu của nhà vệ sinh là gì,màu xanh lá,507495,2
31,màu của mặt trước là gì,màu trắng,66283,2
32,màu của gấu là gì,màu xám,2770,2
33,màu của hàng rào là gì,màu cam,396494,2
34,màu của con mèo là gì,màu cam,118997,2
35,màu của dây là gì,màu đen,25516,2
36,màu của mũ bảo hiểm là gì,màu đỏ,270524,2
37,màu của động vật là gì,màu đen,335092,2
38,màu của đồng hồ là gì,màu nâu,82735,2
39,màu của ô tô là gì,màu vàng,447135,2
40,màu sắc của công viên là gì,màu đỏ,120385,2
41,màu của gạch là gì,màu xám,43011,2
42,màu của lông là gì,màu đen,131731,2
43,màu của điểm dừng là gì,màu đỏ,492705,2
44,màu của tường là gì,màu đen,181104,2
45,màu của áo là gì,màu đỏ,579798,2
46,màu của ghế là gì,màu tía,386029,2
47,màu của xe tải là gì,màu đỏ,408975,2
48,màu của các chuyến tàu là gì,màu xanh dương,39556,2
49,màu của con mèo là gì,màu đen,190580,2
50,màu của cái bát là gì,màu trắng,74002,2
51,màu sắc của bông hoa là gì,màu trắng,319612,2
52,màu của xe là gì,màu xanh dương,455198,2
53,màu của đèn là gì,màu vàng,488812,2
54,màu của vòi nước là gì,màu đỏ,103158,2
55,màu của bàn là gì,màu nâu,123646,2
56,màu của gấu là gì,màu đen,454832,2
57,màu sắc của dây nịch là gì,màu tía,305690,2
58,màu của đồng hồ là gì,màu tía,101675,2
59,màu của ánh sáng là gì,màu xanh lá,80739,2
60,màu của đèn giao thông là gì,màu vàng,244478,2
61,màu sắc của những con ngựa là gì,màu trắng,494637,2
62,màu của dấu hiệu là gì,màu vàng,443735,2
63,màu của cây là gì,màu cam,340103,2
64,màu sắc của con vật đang đi bộ là gì,màu nâu,528882,2
65,màu của chiếc bình là gì,màu xanh dương,114749,2
66,màu của xe buýt là gì,màu xanh lá,257013,2
67,màu của xe máy là gì,màu xanh dương,574739,2
68,màu của bề mặt là gì,màu trắng,530154,2
69,màu của áo khoác là gì,màu nâu,43829,2
70,màu của chiếc ghế dài là gì,màu đen,469667,2
71,màu của chiếc tàu là gì,màu đỏ,425072,2
72,màu của gấu là gì,màu nâu,115681,2
73,màu của dấu hiệu là gì,màu đỏ,275037,2
74,màu sắc của hoa lan là gì,màu cam,90140,2
75,màu của lá là gì,màu đỏ,534331,2
76,màu sắc của quần áo là gì,màu cam,565081,2
77,màu sắc của đồ chơi là gì,màu đen,308522,2
78,màu tóc là gì,màu xanh lá,516541,2
79,màu của con chó là gì,màu trắng,158718,2
80,màu sắc của người an ủi là gì,màu trắng,19146,2
81,màu của gấu là gì,màu nâu,7224,2
82,màu của điểm đánh dấu là gì,màu cam,274759,2
83,màu của con chó là gì,màu đen,422301,2
84,màu của gấu là gì,màu nâu,238960,2
